Player,country,Nation,Squad,Age,Weekly Wages,Annual Wages,Year,
Chris Durkin,us,USA,DC United,18,"$1,827 ","$95,000 ",2019,
Auston Trusty,us,USA,Philadelphia Union,20,"$1,827 ","$95,000 ",2019,
Brian Rowe,us,USA,Orlando City SC,30,"$1,827 ","$95,000 ",2019,
JJ Williams,us,USA,Columbus Crew,21,"$1,827 ","$95,000 ",2019,
Alex Horwath,us,USA,Real Salt Lake,31,"$1,827 ","$95,000 ",2019,
Grant Lillard,us,USA,Chicago Fire,23,"$1,827 ","$95,000 ",2019,
Clément Diop,sn,SEN,Montreal Impact,25,"$1,817 ","$94,500 ",2019,
Latif Blessing,gh,GHA,LAFC,22,"$1,803 ","$93,750 ",2019,
Kortne Ford,us,USA,Colorado Rapids,26,"$1,779 ","$92,496 ",2019,
Griffin Dorsey,us,USA,Toronto FC,19,"$1,731 ","$90,000 ",2019,
Moises Hernandez,gt,GUA,FC Dallas,30,"$1,731 ","$90,000 ",2019,
Chris Goslin,us,USA,Atlanta United,21,"$1,731 ","$90,000 ",2019,
Tajon Buchanan,ca,CAN,New England Revolution,19,"$1,731 ","$90,000 ",2019,
Donovan Pines,us,USA,DC United,20,"$1,731 ","$90,000 ",2019,
Jack De Vries,us,USA,Philadelphia Union,20,"$1,731 ","$90,000 ",2019,
Cameron Lindley,us,USA,Orlando City SC,24,"$1,731 ","$90,000 ",2019,
Gianluca Busio,us,USA,Sporting Kansas City,16,"$1,731 ","$90,000 ",2019,
Aboubacar Keita,us,USA,Columbus Crew,18,"$1,731 ","$90,000 ",2019,
Maxime Crépeau,ca,CAN,Vancouver Whitecaps,24,"$1,731 ","$90,000 ",2019,
Kenneth Kronholm,de,GER,Chicago Fire,33,"$1,692 ","$87,996 ",2019,
Aaron Herrera,us,USA,Real Salt Lake,21,"$1,654 ","$86,000 ",2019,
Andrew Carleton,us,USA,Atlanta United,18,"$1,635 ","$85,000 ",2019,
Andre Shinyashiki,br,BRA,Colorado Rapids,23,"$1,635 ","$85,000 ",2019,
Benji Michel,us,USA,Orlando City SC,21,"$1,635 ","$85,000 ",2019,
Edward Opoku,us,USA,Columbus Crew,24,"$1,635 ","$85,000 ",2019,
Nick Besler,us,USA,Real Salt Lake,25,"$1,635 ","$85,000 ",2019,
Brandt Bronico,us,USA,Chicago Fire,23,"$1,635 ","$85,000 ",2019,
Nouhou Tolo,cm,CMR,Seattle Sounders FC,21,"$1,615 ","$84,000 ",2019,
Hugo Arellano,us,USA,LA Galaxy,24,"$1,587 ","$82,500 ",2019,
Reggie Cannon,us,USA,FC Dallas,20,"$1,543 ","$80,250 ",2019,
Marco Farfan,us,USA,Portland Timbers,20,"$1,543 ","$80,250 ",2019,
Jalen Robinson,us,USA,DC United,24,"$1,539 ","$80,004 ",2019,
Dante Sealy,us,USA,FC Dallas,19,"$1,538 ","$80,000 ",2019,
John Nelson,us,USA,FC Dallas,20,"$1,538 ","$80,000 ",2019,
Ricardo Pepi,us,USA,FC Dallas,16,"$1,538 ","$80,000 ",2019,
Justin Rennicks,us,USA,New England Revolution,19,"$1,538 ","$80,000 ",2019,
Sam Vines,us,USA,Colorado Rapids,19,"$1,538 ","$80,000 ",2019,
Cristian Cásseres Jr.,ve,VEN,New York Red Bulls,19,"$1,538 ","$80,000 ",2019,
Omir Fernandez,us,USA,New York Red Bulls,19,"$1,538 ","$80,000 ",2019,
Gilbert Fuentes,us,USA,San Jose Earthquakes,16,"$1,538 ","$80,000 ",2019,
Julian Araujo,mx,MEX,LA Galaxy,17,"$1,538 ","$80,000 ",2019,
Cristian Martínez,pa,PAN,Chicago Fire,21,"$1,538 ","$80,000 ",2019,
Mathieu Choiniere,ca,CAN,Montreal Impact,19,"$1,538 ","$80,000 ",2019,
Romario Williams,jm,JAM,Columbus Crew,24,"$1,513 ","$78,650 ",2019,
Tyler Miller,us,USA,LAFC,25,"$1,492 ","$77,565 ",2019,
Cody Cropper,us,USA,New England Revolution,25,"$1,491 ","$77,520 ",2019,
Derrick Etienne Jr.,ht,HAI,FC Cincinnati,22,"$1,482 ","$77,063 ",2019,
Bradford Jamieson IV,us,USA,LA Galaxy,25,"$1,469 ","$76,403 ",2019,
Josh Perez,,,LAFC,24,"$1,462 ","$76,000 ",2019,
Matt Turner,us,USA,New England Revolution,24,"$1,460 ","$75,938 ",2019,
Cory Burke,jm,JAM,Philadelphia Union,27,"$1,460 ","$75,938 ",2019,
George Bello,us,USA,Atlanta United,20,"$1,442 ","$75,000 ",2019,
Cole Bassett,us,USA,Colorado Rapids,17,"$1,442 ","$75,000 ",2019,
Derrick Jones,us,USA,Philadelphia Union,21,"$1,442 ","$75,000 ",2019,
Jaylin Lindsey,us,USA,Sporting Kansas City,18,"$1,442 ","$75,000 ",2019,
Siad Haji,so,SOM,San Jose Earthquakes,19,"$1,442 ","$75,000 ",2019,
Ethan Zubak,us,USA,LA Galaxy,20,"$1,442 ","$75,000 ",2019,
Deklan Wynne,nz,NZL,Colorado Rapids,23,"$1,428 ","$74,250 ",2019,
Sebastien Ibeagha,us,USA,New York City FC,27,"$1,428 ","$74,250 ",2019,
Santiago Patiño,us,USA,Orlando City SC,21,"$1,394 ","$72,500 ",2019,
Kevin Garcia,us,USA,Houston Dynamo,28,"$1,392 ","$72,361 ",2019,
Andre Rawls,us,USA,Colorado Rapids,27,"$1,392 ","$72,361 ",2019,
Mikey Ambrose,us,USA,Atlanta United,25,"$1,391 ","$72,352 ",2019,
Zachary Herivaux,,,New England Revolution,26,"$1,391 ","$72,352 ",2019,
Tony Rocha,bz,BLZ,New York City FC,25,"$1,391 ","$72,347 ",2019,
Mark McKenzie,us,USA,Philadelphia Union,19,"$1,389 ","$72,225 ",2019,
Zachary Brault-Guillard,ca,CAN,Montreal Impact,20,"$1,385 ","$72,000 ",2019,
Matt Bersano,us,USA,San Jose Earthquakes,29,"$1,378 ","$71,667 ",2019,
Spencer Richey,us,USA,FC Cincinnati,26,"$1,378 ","$71,667 ",2019,
Jon Kempin,us,USA,Columbus Crew,25,"$1,378 ","$71,664 ",2019,
Niko Hansen,,,Houston Dynamo,27,"$1,378 ","$71,663 ",2019,
Jacori Hayes,,,FC Dallas,26,"$1,378 ","$71,663 ",2019,
Brett Levis,ca,CAN,Vancouver Whitecaps,25,"$1,378 ","$71,663 ",2019,
Eric Bird,us,USA,Houston Dynamo,29,"$1,363 ","$70,875 ",2019,
Caleb Patterson-Sewell,au,AUS,Toronto FC,31,"$1,363 ","$70,875 ",2019,
Liam Fraser,ca,CAN,Toronto FC,20,"$1,363 ","$70,875 ",2019,
Kyle Zobeck,us,USA,FC Dallas,28,"$1,363 ","$70,875 ",2019,
Brian Wright,ca,CAN,New England Revolution,23,"$1,363 ","$70,875 ",2019,
Olivier Mbaizo,cm,CMR,Philadelphia Union,21,"$1,363 ","$70,875 ",2019,
Adam Grinwis,us,USA,Orlando City SC,26,"$1,363 ","$70,875 ",2019,
Mason Stajduhar,us,USA,Orlando City SC,21,"$1,363 ","$70,875 ",2019,
Wan Kuzain,my,MAS,Sporting Kansas City,20,"$1,363 ","$70,875 ",2019,
Bryan Meredith,us,USA,Seattle Sounders FC,29,"$1,363 ","$70,875 ",2019,
Jordy Delem,mq,MTQ,Seattle Sounders FC,25,"$1,363 ","$70,875 ",2019,
Vincent Bezecourt,fr,FRA,New York Red Bulls,25,"$1,363 ","$70,875 ",2019,
Jimmy Ockford,us,USA,San Jose Earthquakes,26,"$1,363 ","$70,875 ",2019,
Luis Felipe,br,BRA,San Jose Earthquakes,23,"$1,363 ","$70,875 ",2019,
Andrew Putna,us,USA,Real Salt Lake,24,"$1,363 ","$70,875 ",2019,
Jorge Luis Corrales,cu,CUB,Montreal Impact,27,"$1,363 ","$70,875 ",2019,
Florian Valot,fr,FRA,New York Red Bulls,25,"$1,363 ","$70,872 ",2019,
Efrain Alvarez,mx,MEX,LA Galaxy,16,"$1,363 ","$70,872 ",2019,
Anthony Fontana,us,USA,Philadelphia Union,19,"$1,351 ","$70,260 ",2019,
Hassan Ndam,cm,CMR,FC Cincinnati,23,"$1,351 ","$70,260 ",2019,
Maynor Figueroa,hn,HON,Houston Dynamo,35,"$1,351 ","$70,250 ",2019,
Memo Rodriguez,us,USA,Houston Dynamo,23,"$1,351 ","$70,250 ",2019,
Michael Salazar,bz,BLZ,Houston Dynamo,26,"$1,351 ","$70,250 ",2019,
Jon Bakero,es,ESP,Toronto FC,25,"$1,351 ","$70,250 ",2019,
Ryan Telfer,tt,TRI,Toronto FC,24,"$1,351 ","$70,250 ",2019,
Tsubasa Endoh,jp,JPN,Toronto FC,25,"$1,351 ","$70,250 ",2019,
Bryan Reynolds,us,USA,FC Dallas,17,"$1,351 ","$70,250 ",2019,
Callum Montgomery,ca,CAN,FC Dallas,21,"$1,351 ","$70,250 ",2019,
Edwin Cerrillo,us,USA,FC Dallas,18,"$1,351 ","$70,250 ",2019,
Jesús Ferreira,us,USA,FC Dallas,18,"$1,351 ","$70,250 ",2019,
Brendan Moore,us,USA,Atlanta United,26,"$1,351 ","$70,250 ",2019,
Jon Gallagher,ie,IRL,Atlanta United,22,"$1,351 ","$70,250 ",2019,
Lagos Kunga,us,USA,Atlanta United,23,"$1,351 ","$70,250 ",2019,
Isaac Angking,pr,PUR,New England Revolution,22,"$1,351 ","$70,250 ",2019,
Nicolas Firmino,us,USA,New England Revolution,18,"$1,351 ","$70,250 ",2019,
