Player,country,Nation,Squad,Age,Weekly Wages,Annual Wages,Year,
Simon Colyn,ca,CAN,Vancouver Whitecaps,16,"$1,082 ","$56,250 ",2019,
Theo Bair,ca,CAN,Vancouver Whitecaps,19,"$1,082 ","$56,250 ",2019,
Thomas Hasal,ca,CAN,Vancouver Whitecaps,22,"$1,082 ","$56,250 ",2019,
Marvin Loría,cr,CRC,Portland Timbers,21,"$1,082 ","$56,250 ",2019,
Diedie Traoré,fr,FRA,LA Galaxy,20,"$1,082 ","$56,250 ",2019,
Benjamin Lundt,de,GER,FC Cincinnati,26,"$1,082 ","$56,250 ",2019,
Jimmy Hague,us,USA,FC Cincinnati,22,"$1,082 ","$56,250 ",2019,
Logan Gdula,us,USA,FC Cincinnati,22,"$1,082 ","$56,250 ",2019,
Rashawn Dally,jm,JAM,FC Cincinnati,22,"$1,082 ","$56,250 ",2019,
Thomas McCabe,us,USA,FC Cincinnati,20,"$1,082 ","$56,250 ",2019,
Doug Martinez,,,Real Salt Lake,24,"$1,082 ","$56,250 ",2019,
Julian Vazquez,us,USA,Real Salt Lake,21,"$1,082 ","$56,250 ",2019,
Luis Arriaga,us,USA,Real Salt Lake,18,"$1,082 ","$56,250 ",2019,
Andre Reynolds II,us,USA,Chicago Fire,17,"$1,082 ","$56,250 ",2019,
Jeremiah Gutjahr,us,USA,Chicago Fire,21,"$1,082 ","$56,250 ",2019,
Amar Sejdic,us,USA,Montreal Impact,22,"$1,082 ","$56,250 ",2019,
Daniel Kinumbe,ca,CAN,Montreal Impact,19,"$1,082 ","$56,250 ",2019,
Karifa Yao,ca,CAN,Montreal Impact,18,"$1,082 ","$56,250 ",2019,
Noble Okello,ca,CAN,Toronto FC,21,"$1,082 ","$56,245 ",2019,
Bastian Schweinsteiger,de,GER,Chicago Fire,33,"$117,308 ","$6,100,000 ",2018,
Michael Bradley,us,USA,Toronto FC,30,"$115,385 ","$6,000,000 ",2018,
David Villa,es,ESP,New York City FC,36,"$107,885 ","$5,610,000 ",2018,
Sebastian Giovinco,it,ITA,Toronto FC,31,"$107,692 ","$5,600,000 ",2018,
Jozy Altidore,us,USA,Toronto FC,28,"$96,154 ","$5,000,000 ",2018,
Carlos Vela,mx,MEX,LAFC,28,"$86,538 ","$4,500,000 ",2018,
Giovani dos Santos,mx,MEX,LA Galaxy,28,"$81,731 ","$4,250,000 ",2018,
Wayne Rooney,eng,ENG,DC United,32,"$53,254 ","$2,769,231 ",2018,
Diego Valeri,ar,ARG,Portland Timbers,31,"$44,615 ","$2,320,000 ",2018,
Raúl Ruidíaz,pe,PER,Seattle Sounders FC,27,"$38,462 ","$2,000,004 ",2018,
Tim Howard,us,USA,Colorado Rapids,38,"$38,462 ","$2,000,000 ",2018,
Maximiliano Moralez,ar,ARG,New York City FC,30,"$38,462 ","$2,000,000 ",2018,
Jonathan dos Santos,mx,MEX,LA Galaxy,27,"$38,462 ","$2,000,000 ",2018,
Miguel Almirón,py,PAR,Atlanta United,23,"$36,779 ","$1,912,500 ",2018,
Yura Movsisyan,am,ARM,Chicago Fire,30,"$35,577 ","$1,850,000 ",2018,
Nicolás Lodeiro,uy,URU,Seattle Sounders FC,28,"$34,615 ","$1,800,000 ",2018,
Bořek Dočkal,cz,CZE,Philadelphia Union,29,"$32,967 ","$1,714,286 ",2018,
Nemanja Nikolić,hu,HUN,Chicago Fire,30,"$32,692 ","$1,700,000 ",2018,
Darwin Quintero,co,COL,Minnesota United,30,"$31,731 ","$1,650,000 ",2018,
Felipe Gutiérrez,cl,CHI,Sporting Kansas City,27,"$30,769 ","$1,600,000 ",2018,
Shkëlzen Gashi,al,ALB,Colorado Rapids,29,"$30,288 ","$1,575,000 ",2018,
Romain Alessandrini,fr,FRA,LA Galaxy,28,"$29,615 ","$1,539,996 ",2018,
Bradley Wright-Phillips,eng,ENG,New York Red Bulls,32,"$28,846 ","$1,500,000 ",2018,
Zlatan Ibrahimović,se,SWE,LA Galaxy,36,"$28,846 ","$1,500,000 ",2018,
Ezequiel Barco,ar,ARG,Atlanta United,18,"$27,404 ","$1,425,000 ",2018,
Víctor Vázquez,es,ESP,Toronto FC,31,"$26,250 ","$1,365,000 ",2018,
Johnny Russell,sct,SCO,Sporting Kansas City,27,"$25,607 ","$1,331,579 ",2018,
Vako,ge,GEO,San Jose Earthquakes,25,"$25,481 ","$1,325,004 ",2018,
Sebastián Blanco,ar,ARG,Portland Timbers,29,"$25,000 ","$1,300,008 ",2018,
Michael Mancienne,sc,SEY,New England Revolution,30,"$24,707 ","$1,284,768 ",2018,
Josef Martínez,ve,VEN,Atlanta United,24,"$24,423 ","$1,270,008 ",2018,
David Accam,gh,GHA,Philadelphia Union,27,"$24,038 ","$1,250,000 ",2018,
Alejandro Bedoya,us,USA,Philadelphia Union,30,"$23,077 ","$1,200,000 ",2018,
Dom Dwyer,us,USA,Orlando City SC,27,"$23,077 ","$1,200,000 ",2018,
Aleksandar Katai,rs,SRB,Chicago Fire,26,"$23,077 ","$1,200,000 ",2018,
Rod Fanni,fr,FRA,Montreal Impact,36,"$23,077 ","$1,200,000 ",2018,
Ager Aketxe,es,ESP,Toronto FC,24,"$22,885 ","$1,190,000 ",2018,
Federico Higuaín,ar,ARG,Columbus Crew,33,"$21,154 ","$1,100,000 ",2018,
Osvaldo Alonso,cu,CUB,Seattle Sounders FC,32,"$21,154 ","$1,100,000 ",2018,
André Horta,pt,POR,LAFC,21,"$21,154 ","$1,100,000 ",2018,
Sacha Kljestan,us,USA,Orlando City SC,32,"$19,712 ","$1,025,000 ",2018,
Zoltán Stieber,hu,HUN,DC United,29,"$19,231 ","$1,000,000 ",2018,
Andreu Fontàs,es,ESP,Sporting Kansas City,28,"$19,231 ","$1,000,000 ",2018,
Víctor Rodríguez,es,ESP,Seattle Sounders FC,28,"$19,231 ","$1,000,000 ",2018,
Diego Rossi,uy,URU,LAFC,19,"$19,231 ","$1,000,000 ",2018,
Kei Kamara,sl,SLE,Vancouver Whitecaps,33,"$19,231 ","$1,000,000 ",2018,
Krisztián Németh,hu,HUN,Sporting Kansas City,29,"$17,308 ","$900,000 ",2018,
Roger Espinoza,hn,HON,Sporting Kansas City,31,"$17,308 ","$900,000 ",2018,
Jørgen Skjelvik,no,NOR,LA Galaxy,26,"$17,308 ","$900,000 ",2018,
Damir Kreilach,hr,CRO,Real Salt Lake,28,"$17,308 ","$900,000 ",2018,
Marc Rzatkowski,de,GER,New York Red Bulls,27,"$17,019 ","$885,000 ",2018,
Albert Rusnák,sk,SVK,Real Salt Lake,23,"$16,346 ","$850,008 ",2018,
Adama Diomande,no,NOR,LAFC,27,"$16,346 ","$850,000 ",2018,
Lucas Melano,ar,ARG,Portland Timbers,24,"$16,154 ","$840,000 ",2018,
Ola Kamara,no,NOR,LA Galaxy,28,"$15,865 ","$825,000 ",2018,
Lamine Sané,sn,SEN,Orlando City SC,30,"$15,529 ","$807,500 ",2018,
Alejandro Silva González,uy,URU,Montreal Impact,28,"$15,385 ","$800,040 ",2018,
Gregory van der Wiel,nl,NED,Toronto FC,29,"$15,385 ","$800,000 ",2018,
Chris Wondolowski,us,USA,San Jose Earthquakes,35,"$15,385 ","$800,000 ",2018,
Saphir Taïder,dz,ALG,Montreal Impact,25,"$15,385 ","$800,000 ",2018,
Claude Dielna,gp,GLP,New England Revolution,30,"$15,000 ","$780,000 ",2018,
Yannick Boli,ci,CIV,Colorado Rapids,30,"$14,904 ","$775,000 ",2018,
Jonathan Mensah,gh,GHA,Columbus Crew,27,"$14,904 ","$774,996 ",2018,
Reto Ziegler,ch,SUI,FC Dallas,32,"$14,423 ","$750,000 ",2018,
Graham Zusi,us,USA,Sporting Kansas City,31,"$14,423 ","$750,000 ",2018,
Matt Besler,us,USA,Sporting Kansas City,30,"$14,423 ","$750,000 ",2018,
Larrys Mabiala,cd,COD,Portland Timbers,30,"$14,423 ","$750,000 ",2018,
Pedro Santos,pt,POR,Columbus Crew,29,"$14,377 ","$747,600 ",2018,
Alejandro Romero Gamarra,,,New York Red Bulls,23,"$13,636 ","$709,091 ",2018,
Maximiliano Urruti,ar,ARG,FC Dallas,26,"$13,462 ","$700,000 ",2018,
Brek Shea,us,USA,Vancouver Whitecaps,27,"$13,462 ","$700,000 ",2018,
Liam Ridgewell,eng,ENG,Portland Timbers,33,"$13,462 ","$700,000 ",2018,
Dax McCarty,us,USA,Chicago Fire,30,"$13,462 ","$700,000 ",2018,
Matteo Mancosu,it,ITA,Montreal Impact,33,"$13,462 ","$700,000 ",2018,
Roland Lamah,be,BEL,FC Dallas,30,"$12,981 ","$675,000 ",2018,
Marcelo Silva,uy,URU,Real Salt Lake,28,"$12,981 ","$675,000 ",2018,
Héctor Villalba,py,PAR,Atlanta United,23,"$12,750 ","$663,000 ",2018,
Alberth Elis,hn,HON,Houston Dynamo,21,"$12,507 ","$650,340 ",2018,
Leandro Pirez,,,Atlanta United,26,"$12,500 ","$650,004 ",2018,
Yohan Croizet,fr,FRA,Sporting Kansas City,25,"$12,500 ","$650,004 ",2018,
Jesús Medina,py,PAR,New York City FC,20,"$12,500 ","$650,000 ",2018,
Rudy Camacho,fr,FRA,Montreal Impact,26,"$12,500 ","$650,000 ",2018,
Brad Guzan,us,USA,Atlanta United,33,"$12,308 ","$640,008 ",2018,
Gyasi Zardes,us,USA,Columbus Crew,26,"$12,115 ","$630,000 ",2018,
Paul Arriola,us,USA,DC United,22,"$12,019 ","$625,000 ",2018,
Benny Feilhaber,us,USA,LAFC,33,"$12,019 ","$625,000 ",2018,
Darlington Nagbe,us,USA,Atlanta United,27,"$11,635 ","$605,000 ",2018,
Tommy Smith,nz,NZL,Colorado Rapids,27,"$11,538 ","$600,000 ",2018,
Jo Inge Berget,no,NOR,New York City FC,27,"$11,538 ","$600,000 ",2018,
Daniel Royer,at,AUT,New York Red Bulls,27,"$11,538 ","$600,000 ",2018,
Jorge Villafaña,us,USA,Portland Timbers,28,"$11,538 ","$600,000 ",2018,
Samuel Armenteros,se,SWE,Portland Timbers,27,"$11,538 ","$600,000 ",2018,
Michaël Ciani,fr,FRA,LA Galaxy,33,"$11,538 ","$600,000 ",2018,
Carlos Gruezo,ec,ECU,FC Dallas,22,"$11,442 ","$595,000 ",2018,
Jay Simpson,eng,ENG,Philadelphia Union,29,"$11,154 ","$580,008 ",2018,
Jonathan Spector,us,USA,Orlando City SC,31,"$11,058 ","$575,004 ",2018,
Juan Agudelo,us,USA,New England Revolution,25,"$11,058 ","$575,000 ",2018,
Román Torres,pa,PAN,Seattle Sounders FC,31,"$11,058 ","$575,000 ",2018,
Christian Ramirez,us,USA,LAFC,26,"$11,058 ","$575,000 ",2018,
Angelo Rodríguez,co,COL,Minnesota United,28,"$11,058 ","$575,000 ",2018,
Ali Ghazal,eg,EGY,Vancouver Whitecaps,25,"$11,058 ","$575,000 ",2018,
Kendall Waston,cr,CRC,Vancouver Whitecaps,30,"$11,058 ","$575,000 ",2018,
Chris McCann,ie,IRL,Atlanta United,30,"$10,769 ","$560,000 ",2018,
Johan Kappelhof,nl,NED,Chicago Fire,27,"$10,673 ","$555,000 ",2018,
Gerso Fernandes,gw,GNB,Sporting Kansas City,26,"$10,577 ","$550,008 ",2018,
Justin Meram,iq,IRQ,Columbus Crew,29,"$10,577 ","$550,008 ",2018,
Luciano Acosta,ar,ARG,DC United,23,"$10,577 ","$550,000 ",2018,
Alexander Ring,fi,FIN,New York City FC,26,"$10,577 ","$550,000 ",2018,
Guram Kashia,ge,GEO,San Jose Earthquakes,30,"$10,577 ","$550,000 ",2018,
Diego Chará,co,COL,Portland Timbers,31,"$10,577 ","$550,000 ",2018,
Yoshimar Yotún,pe,PER,Orlando City SC,27,"$10,577 ","$549,996 ",2018,
Brad Smith,au,AUS,Seattle Sounders FC,23,"$10,175 ","$529,092 ",2018,
C.J. Sapong,us,USA,Philadelphia Union,29,"$10,096 ","$525,000 ",2018,
Efraín Juárez,mx,MEX,Vancouver Whitecaps,29,"$10,096 ","$525,000 ",2018,
Joao Plata,ec,ECU,Real Salt Lake,25,"$10,096 ","$525,000 ",2018,
Michael de Leeuw,nl,NED,Chicago Fire,31,"$10,096 ","$525,000 ",2018,
Kyle Beckerman,us,USA,Real Salt Lake,35,"$9,712 ","$505,008 ",2018,
Matt Hedges,us,USA,FC Dallas,27,"$9,615 ","$500,004 ",2018,
Steve Birnbaum,us,USA,DC United,27,"$9,615 ","$500,004 ",2018,
Haris Medunjanin,ba,BIH,Philadelphia Union,32,"$9,615 ","$500,004 ",2018,
Wil Trapp,us,USA,Columbus Crew,25,"$9,615 ","$500,004 ",2018,
Kim Kee-hee,kr,KOR,Seattle Sounders FC,28,"$9,615 ","$500,004 ",2018,
Florian Jungwirth,de,GER,San Jose Earthquakes,29,"$9,615 ","$500,004 ",2018,
Chris Mavinga,cd,COD,Toronto FC,26,"$9,615 ","$500,000 ",2018,
Cristian Colmán,py,PAR,FC Dallas,23,"$9,615 ","$500,000 ",2018,
Cristian Penilla,ec,ECU,New England Revolution,26,"$9,615 ","$500,000 ",2018,
Danny Wilson,sct,SCO,Colorado Rapids,26,"$9,615 ","$500,000 ",2018,
Kelvin Leerdam,sr,SUR,Seattle Sounders FC,27,"$9,615 ","$500,000 ",2018,
Alexander Callens,pe,PER,New York City FC,25,"$9,615 ","$500,000 ",2018,
Lee Nguyen,us,USA,LAFC,31,"$9,615 ","$500,000 ",2018,
Romario Ibarra,ec,ECU,Minnesota United,23,"$9,615 ","$500,000 ",2018,
Ignacio Piatti,ar,ARG,Montreal Impact,32,"$9,615 ","$500,000 ",2018,
Jahmir Hyka,al,ALB,San Jose Earthquakes,29,"$9,423 ","$489,996 ",2018,
Bacary Sagna,fr,FRA,Montreal Impact,34,"$9,231 ","$480,000 ",2018,
Wilfried Zahibo,cf,CTA,New England Revolution,24,"$9,115 ","$474,000 ",2018,
Danny Hoesen,nl,NED,San Jose Earthquakes,27,"$8,942 ","$465,000 ",2018,
Luis Robles,us,USA,New York Red Bulls,33,"$8,846 ","$460,000 ",2018,
Harold Santiago Mosquera,co,COL,FC Dallas,22,"$8,654 ","$450,000 ",2018,
Andre Blake,jm,JAM,Philadelphia Union,27,"$8,654 ","$450,000 ",2018,
Aurélien Collin,fr,FRA,New York Red Bulls,31,"$8,654 ","$450,000 ",2018,
Eduard Atuesta,co,COL,LAFC,20,"$8,654 ","$450,000 ",2018,
Francisco Calvo,cr,CRC,Minnesota United,25,"$8,654 ","$450,000 ",2018,
Ashley Cole,eng,ENG,LA Galaxy,37,"$8,654 ","$450,000 ",2018,
Perry Kitchen,us,USA,LA Galaxy,25,"$8,654 ","$450,000 ",2018,
Cristian Higuita,co,COL,Orlando City SC,24,"$8,558 ","$444,996 ",2018,
Carlos Rivas,co,COL,New York Red Bulls,23,"$8,558 ","$444,996 ",2018,
Yordy Reyna,pe,PER,Vancouver Whitecaps,24,"$8,462 ","$440,000 ",2018,
Yamil Asad,ar,ARG,DC United,23,"$8,392 ","$436,364 ",2018,
Will Johnson,ca,CAN,Orlando City SC,31,"$8,346 ","$434,004 ",2018,
Kevin Molino,tt,TRI,Minnesota United,27,"$8,173 ","$425,004 ",2018,
Felipe,br,BRA,Vancouver Whitecaps,27,"$8,173 ","$425,000 ",2018,
Aníbal Godoy,pa,PAN,San Jose Earthquakes,27,"$8,173 ","$425,000 ",2018,
Oriol Rosell,es,ESP,Orlando City SC,25,"$7,933 ","$412,500 ",2018,
Adam Lundkvist,,,Houston Dynamo,24,"$7,788 ","$405,000 ",2018,
Antonio Delamea Mlinar,si,SVN,New England Revolution,26,"$7,692 ","$400,008 ",2018,
Michael Barrios,co,COL,FC Dallas,26,"$7,692 ","$400,000 ",2018,
Pablo Aránguiz,cl,CHI,FC Dallas,20,"$7,692 ","$400,000 ",2018,
Jack Price,eng,ENG,Colorado Rapids,25,"$7,692 ","$400,000 ",2018,
Darren Mattocks,jm,JAM,DC United,27,"$7,692 ","$400,000 ",2018,
Magnus Eriksson,se,SWE,San Jose Earthquakes,27,"$7,692 ","$400,000 ",2018,
Nick Rimando,us,USA,Real Salt Lake,38,"$7,692 ","$400,000 ",2018,
Lucas Janson,ar,ARG,Toronto FC,23,"$7,615 ","$396,000 ",2018,
Gabriel Somi,sy,SYR,New England Revolution,26,"$7,519 ","$391,000 ",2018,
Cristian Techera,uy,URU,Vancouver Whitecaps,25,"$7,442 ","$387,000 ",2018,
Maxime Chanot,lu,LUX,New York City FC,28,"$7,212 ","$375,000 ",2018,
Ethan Finlay,us,USA,Minnesota United,27,"$7,212 ","$375,000 ",2018,
Jefferson Savarino,ve,VEN,Real Salt Lake,21,"$7,212 ","$375,000 ",2018,
Carlos Ascues,pe,PER,Orlando City SC,25,"$6,923 ","$360,000 ",2018,
Drew Moor,us,USA,Toronto FC,34,"$6,731 ","$350,004 ",2018,
David Ousted,dk,DEN,DC United,32,"$6,731 ","$350,000 ",2018,
Gustav Svensson,se,SWE,Seattle Sounders FC,30,"$6,731 ","$350,000 ",2018,
Will Bruin,us,USA,Seattle Sounders FC,28,"$6,731 ","$350,000 ",2018,
Anton Tinnerholm,se,SWE,New York City FC,26,"$6,731 ","$350,000 ",2018,
Michael Parkhurst,us,USA,Atlanta United,34,"$6,539 ","$340,008 ",2018,
Marcos Pedroso,,,FC Dallas,25,"$6,346 ","$330,000 ",2018,
Dominic Oduro,gh,GHA,San Jose Earthquakes,33,"$6,346 ","$330,000 ",2018,
Ilie Sánchez,es,ESP,Sporting Kansas City,27,"$6,250 ","$325,008 ",2018,
Ike Opara,us,USA,Sporting Kansas City,28,"$6,250 ","$325,000 ",2018,
Ebenezer Ofori,gh,GHA,New York City FC,22,"$6,250 ","$325,000 ",2018,
Nana Adjei Boateng,,,Colorado Rapids,24,"$6,154 ","$320,004 ",2018,
Ismael Tajouri,,,New York City FC,24,"$6,154 ","$320,000 ",2018,
Tomás Martínez,ar,ARG,Houston Dynamo,22,"$5,865 ","$305,004 ",2018,
Justin Morrow,us,USA,Toronto FC,30,"$5,769 ","$300,000 ",2018,
Aníbal Chalá,ec,ECU,FC Dallas,21,"$5,769 ","$300,000 ",2018,
Eric Remedi,ar,ARG,Atlanta United,22,"$5,769 ","$300,000 ",2018,
Luís Caicedo,co,COL,New England Revolution,21,"$5,769 ","$300,000 ",2018,
Ilson Dias,,,Philadelphia Union,33,"$5,769 ","$300,000 ",2018,
Tim Melia,us,USA,Sporting Kansas City,31,"$5,769 ","$300,000 ",2018,
Chad Marshall,us,USA,Seattle Sounders FC,33,"$5,769 ","$300,000 ",2018,
Rodney Wallace,cr,CRC,New York City FC,29,"$5,769 ","$300,000 ",2018,
Alexi Gómez,pe,PER,Minnesota United,24,"$5,769 ","$300,000 ",2018,
Ibson,br,BRA,Minnesota United,34,"$5,769 ","$300,000 ",2018,
Miguel Ibarra,us,USA,Minnesota United,27,"$5,769 ","$300,000 ",2018,
Yeferson Quintana,uy,URU,San Jose Earthquakes,21,"$5,769 ","$300,000 ",2018,
Luis Solignac,ar,ARG,Chicago Fire,26,"$5,769 ","$300,000 ",2018,
Zakaria Diallo,fr,FRA,Montreal Impact,31,"$5,755 ","$299,250 ",2018,
Harrison Afful,gh,GHA,Columbus Crew,31,"$5,540 ","$288,100 ",2018,
Milton Valenzuela,ar,ARG,Columbus Crew,19,"$5,423 ","$282,000 ",2018,
Kellyn Acosta,us,USA,Colorado Rapids,22,"$5,385 ","$280,000 ",2018,
Marco Ureña,cr,CRC,LAFC,27,"$5,385 ","$279,996 ",2018,
Quincy Amarikwa,us,USA,Montreal Impact,30,"$5,298 ","$275,500 ",2018,
DaMarcus Beasley,us,USA,Houston Dynamo,35,"$5,289 ","$275,004 ",2018,
Nick DeLeon,us,USA,DC United,27,"$5,288 ","$275,000 ",2018,
Rónald Matarrita,cr,CRC,New York City FC,23,"$5,288 ","$275,000 ",2018,
Steven Beitashour,ir,IRN,LAFC,30,"$5,288 ","$275,000 ",2018,
Luiz Fernando,br,BRA,Minnesota United,22,"$5,288 ","$275,000 ",2018,
David Bingham,us,USA,LA Galaxy,28,"$5,288 ","$275,000 ",2018,
Sunday Stephen,ng,NGA,Real Salt Lake,29,"$5,288 ","$275,000 ",2018,
Abel Aguilar,co,COL,FC Dallas,33,"$5,245 ","$272,727 ",2018,
Justen Glad,us,USA,Real Salt Lake,20,"$5,192 ","$270,000 ",2018,
Víctor Cabrera,ar,ARG,Montreal Impact,24,"$5,192 ","$270,000 ",2018,
Sam Nicholson,sct,SCO,Colorado Rapids,23,"$5,096 ","$265,008 ",2018,
Frédéric Brillant,fr,FRA,DC United,32,"$5,096 ","$265,000 ",2018,
Mauro Manotas,co,COL,Houston Dynamo,22,"$5,083 ","$264,328 ",2018,
Eric Alexander,us,USA,Houston Dynamo,29,"$5,000 ","$260,004 ",2018,
Juan Cabezas,,,Houston Dynamo,27,"$4,907 ","$255,156 ",2018,
Cristhian Paredes,py,PAR,Portland Timbers,19,"$4,846 ","$252,000 ",2018,
Collen Warner,us,USA,Minnesota United,29,"$4,827 ","$251,004 ",2018,
Franco Escobar,ar,ARG,Atlanta United,22,"$4,808 ","$250,008 ",2018,
Sean Johnson,us,USA,New York City FC,28,"$4,808 ","$250,008 ",2018,
Michael Boxall,nz,NZL,Minnesota United,29,"$4,808 ","$250,008 ",2018,
Vytas,lt,LTU,DC United,27,"$4,808 ","$250,000 ",2018,
Diego Rubio,cl,CHI,Sporting Kansas City,24,"$4,808 ","$250,000 ",2018,
Stefan Frei,ch,SUI,Seattle Sounders FC,31,"$4,808 ","$250,000 ",2018,
Anthony Blondell,ve,VEN,Vancouver Whitecaps,23,"$4,808 ","$250,000 ",2018,
Patrick Mullins,us,USA,Columbus Crew,25,"$4,808 ","$249,996 ",2018,
Harold Cummings,pa,PAN,San Jose Earthquakes,25,"$4,808 ","$249,996 ",2018,
Russell Canouse,us,USA,DC United,22,"$4,760 ","$247,500 ",2018,
Romell Quioto,hn,HON,Houston Dynamo,26,"$4,615 ","$240,000 ",2018,
Maynor Figueroa,hn,HON,FC Dallas,34,"$4,615 ","$240,000 ",2018,
Cristian Lobato,es,ESP,Sporting Kansas City,28,"$4,615 ","$240,000 ",2018,
Eloi Amagat,es,ESP,New York City FC,32,"$4,615 ","$240,000 ",2018,
Andreas Ivan,ro,ROU,New York Red Bulls,23,"$4,615 ","$240,000 ",2018,
José Aja,uy,URU,Vancouver Whitecaps,24,"$4,615 ","$240,000 ",2018,
Rolf Feltscher,ve,VEN,LA Galaxy,27,"$4,615 ","$240,000 ",2018,
Sebastian Lletget,us,USA,LA Galaxy,25,"$4,615 ","$240,000 ",2018,
Johan Blomberg,se,SWE,Colorado Rapids,30,"$4,612 ","$239,808 ",2018,
Walker Zimmerman,us,USA,LAFC,24,"$4,519 ","$235,000 ",2018,
Andrew Wenger,us,USA,Houston Dynamo,27,"$4,423 ","$230,000 ",2018,
Marky Delgado,us,USA,Toronto FC,22,"$4,423 ","$230,000 ",2018,
Tony Beltran,us,USA,Real Salt Lake,29,"$4,423 ","$230,000 ",2018,
Darwin Cerén,sv,SLV,Houston Dynamo,28,"$4,327 ","$225,000 ",2018,
Philippe Senderos,ch,SUI,Houston Dynamo,32,"$4,327 ","$225,000 ",2018,
Ronaldo Peña,ve,VEN,Houston Dynamo,20,"$4,327 ","$225,000 ",2018,
Eriq Zavaleta,sv,SLV,Toronto FC,25,"$4,327 ","$225,000 ",2018,
Scott Sutter,ch,SUI,Orlando City SC,31,"$4,327 ","$225,000 ",2018,
Sean Davis,us,USA,New York Red Bulls,24,"$4,327 ","$225,000 ",2018,
Johan Venegas,cr,CRC,Minnesota United,28,"$4,327 ","$225,000 ",2018,
Alvas Powell,jm,JAM,Portland Timbers,23,"$4,327 ","$225,000 ",2018,
Brooks Lennon,us,USA,Real Salt Lake,20,"$4,327 ","$225,000 ",2018,
Jordan Allen,us,USA,Real Salt Lake,22,"$4,327 ","$225,000 ",2018,
Luis Silva,mx,MEX,Real Salt Lake,29,"$4,327 ","$225,000 ",2018,
Jordan Morris,us,USA,Seattle Sounders FC,22,"$4,269 ","$222,000 ",2018,
Adolfo Machado,pa,PAN,Houston Dynamo,32,"$4,231 ","$220,008 ",2018,
Cédric Hountondji,bj,BEN,New York City FC,24,"$4,231 ","$220,000 ",2018,
David Guzmán,cr,CRC,Portland Timbers,27,"$4,231 ","$220,000 ",2018,
João Pedro,pt,POR,LA Galaxy,24,"$4,231 ","$219,996 ",2018,
Teal Bunbury,us,USA,New England Revolution,27,"$4,135 ","$215,000 ",2018,
Clint Irwin,us,USA,Toronto FC,28,"$4,038 ","$210,000 ",2018,
Jeff Larentowicz,us,USA,Atlanta United,34,"$4,038 ","$210,000 ",2018,
Artur,,,Columbus Crew,22,"$4,038 ","$210,000 ",2018,
Jukka Raitala,fi,FIN,Montreal Impact,29,"$3,942 ","$205,004 ",2018,
Jonathan Osorio,ca,CAN,Toronto FC,25,"$3,872 ","$201,351 ",2018,
Auro,br,BRA,Toronto FC,22,"$3,846 ","$200,004 ",2018,
Rasmus Schüller,fi,FIN,Minnesota United,26,"$3,846 ","$200,004 ",2018,
A.J. DeLaGarza,gu,GUM,Houston Dynamo,30,"$3,846 ","$200,000 ",2018,
Giles Barnes,jm,JAM,Colorado Rapids,29,"$3,846 ","$200,000 ",2018,
Brad Evans,us,USA,Sporting Kansas City,32,"$3,846 ","$200,000 ",2018,
Josh Williams,us,USA,Columbus Crew,29,"$3,846 ","$200,000 ",2018,
Thomas McNamara,us,USA,New York City FC,26,"$3,846 ","$200,000 ",2018,
Yangel Herrera,ve,VEN,New York City FC,20,"$3,846 ","$200,000 ",2018,
François Affolter,ch,SUI,San Jose Earthquakes,26,"$3,846 ","$200,000 ",2018,
Shea Salinas,us,USA,San Jose Earthquakes,31,"$3,846 ","$200,000 ",2018,
Jeisson Vargas,cl,CHI,Montreal Impact,20,"$3,846 ","$200,000 ",2018,
Mike Grella,us,USA,Columbus Crew,31,"$3,756 ","$195,300 ",2018,
Kelyn Rowe,us,USA,New England Revolution,26,"$3,712 ","$193,000 ",2018,
Tosaint Ricketts,ca,CAN,Toronto FC,30,"$3,654 ","$190,008 ",2018,
Axel Sjöberg,se,SWE,Colorado Rapids,26,"$3,654 ","$189,996 ",2018,
Jesse Gonzalez,mx,MEX,FC Dallas,22,"$3,606 ","$187,500 ",2018,
Lawrence Olum,ke,KEN,Portland Timbers,33,"$3,558 ","$185,004 ",2018,
Andrew Farrell,us,USA,New England Revolution,25,"$3,512 ","$182,600 ",2018,
Victor Ulloa,us,USA,FC Dallas,25,"$3,462 ","$180,000 ",2018,
Ray Gaddis,us,USA,Philadelphia Union,28,"$3,462 ","$180,000 ",2018,
Dillon Powers,us,USA,Orlando City SC,26,"$3,462 ","$180,000 ",2018,
Joe Bendik,us,USA,Orlando City SC,28,"$3,462 ","$180,000 ",2018,
Jérôme Thiesson,ch,SUI,Minnesota United,30,"$3,462 ","$180,000 ",2018,
Aaron Maund,tt,TRI,Vancouver Whitecaps,27,"$3,462 ","$180,000 ",2018,
Dairon Asprilla,co,COL,Portland Timbers,25,"$3,462 ","$180,000 ",2018,
Pablo Ruíz,ar,ARG,Real Salt Lake,19,"$3,462 ","$180,000 ",2018,
Greg Garza,us,USA,Atlanta United,26,"$3,366 ","$175,008 ",2018,
Mohammed Abu,gh,GHA,Columbus Crew,26,"$3,366 ","$175,008 ",2018,
Mohamed El Munir,,,Orlando City SC,26,"$3,365 ","$175,000 ",2018,
Harry Shipp,us,USA,Seattle Sounders FC,26,"$3,365 ","$175,000 ",2018,
Baggio Husidić,ba,BIH,LA Galaxy,30,"$3,365 ","$175,000 ",2018,
Chris Pontius,us,USA,LA Galaxy,30,"$3,365 ","$175,000 ",2018,
